2026-06-13 22:44:43,390 | INFO | main | Application starting up. Initializing database...
2026-06-13 22:44:43,445 | INFO | main | Database schema initialized successfully.
2026-06-13 22:53:08,303 | INFO | routes_documents | File upload received: test_document.pdf, size: 0.00 MB
2026-06-13 22:53:08,367 | INFO | storage | Created upload directory: uploads
2026-06-13 22:53:08,377 | INFO | storage | Saved file test_document.pdf as d8217720-2189-4e1a-b335-3ed60af0647d.pdf to C:\Users\nagal\OneDrive\Desktop\PROJECTS\summerProject\Ai-Research-Assistant\uploads\d8217720-2189-4e1a-b335-3ed60af0647d.pdf
2026-06-13 22:53:08,404 | INFO | pdf_parser | Starting PDF text extraction for: C:\Users\nagal\OneDrive\Desktop\PROJECTS\summerProject\Ai-Research-Assistant\uploads\d8217720-2189-4e1a-b335-3ed60af0647d.pdf
2026-06-13 22:53:08,436 | INFO | pdf_parser | Successfully extracted 2 pages from PDF.
2026-06-13 22:53:08,436 | INFO | chunker | Chunking document 'test_document.pdf' with chunk_size=512, overlap=50
2026-06-13 22:53:08,437 | INFO | chunker | Chunking pipeline complete. Generated 1 chunks from PDF.
2026-06-13 22:53:08,488 | INFO | routes_documents | Successfully processed document: 8d73e0d0-c66e-4be8-82b2-6ba32803f461. Chunks written: 1
2026-06-13 22:53:09,866 | INFO | routes_documents | File upload received: test_document.pdf, size: 0.00 MB
2026-06-13 22:53:09,870 | INFO | deduplication | Duplicate document detected. Existing ID: 8d73e0d0-c66e-4be8-82b2-6ba32803f461
2026-06-13 22:53:09,870 | WARNING | routes_documents | Duplicate detected. Hash: 98dfcf6f2d91aa97d8a0f16bda89bd4f87068f31835651a6ebe757040455f9fa, existing doc_id: 8d73e0d0-c66e-4be8-82b2-6ba32803f461
2026-06-13 22:53:16,258 | INFO | storage | Deleted file from disk: C:\Users\nagal\OneDrive\Desktop\PROJECTS\summerProject\Ai-Research-Assistant\uploads\d8217720-2189-4e1a-b335-3ed60af0647d.pdf
2026-06-13 22:53:16,316 | INFO | routes_documents | Deleted document 8d73e0d0-c66e-4be8-82b2-6ba32803f461 and all related chunks successfully.
2026-06-13 23:01:29,978 | INFO | main | Application starting up. Initializing database...
2026-06-13 23:01:30,013 | INFO | main | Database schema initialized successfully.
2026-06-13 23:02:40,560 | WARNING | main | HTTP error on /: Not Found
2026-06-13 23:02:40,705 | WARNING | main | HTTP error on /favicon.ico: Not Found
2026-06-13 23:02:44,263 | WARNING | main | HTTP error on /: Not Found
2026-06-13 23:03:08,691 | WARNING | main | HTTP error on /: Not Found
2026-06-13 23:05:46,360 | WARNING | main | HTTP error on /favicon.ico: Not Found
2026-06-13 23:06:43,968 | WARNING | main | HTTP error on /favicon.ico: Not Found
2026-06-13 23:22:06,627 | INFO | main | Application starting up. Initializing database...
2026-06-13 23:22:06,633 | INFO | main | Database schema initialized successfully.
2026-06-13 23:22:29,719 | WARNING | main | HTTP error on /: Not Found
2026-06-13 23:22:29,842 | WARNING | main | HTTP error on /favicon.ico: Not Found
2026-06-13 23:29:27,309 | INFO | routes_documents | File upload received: sample_research_paper.pdf, size: 0.01 MB
2026-06-13 23:29:27,338 | INFO | storage | Created upload directory: uploads
2026-06-13 23:29:27,351 | INFO | storage | Saved file sample_research_paper.pdf as b9c7b463-8237-426a-a0c3-0c7eb577a99e.pdf to C:\Users\nagal\OneDrive\Desktop\PROJECTS\summerProject\Ai-Research-Assistant\uploads\b9c7b463-8237-426a-a0c3-0c7eb577a99e.pdf
2026-06-13 23:29:27,381 | INFO | pdf_parser | Starting PDF text extraction for: C:\Users\nagal\OneDrive\Desktop\PROJECTS\summerProject\Ai-Research-Assistant\uploads\b9c7b463-8237-426a-a0c3-0c7eb577a99e.pdf
2026-06-13 23:29:27,528 | INFO | pdf_parser | Successfully extracted 6 pages from PDF.
2026-06-13 23:29:27,529 | INFO | chunker | Chunking document 'sample_research_paper.pdf' with chunk_size=512, overlap=50
2026-06-13 23:29:27,531 | INFO | chunker | Chunking pipeline complete. Generated 3 chunks from PDF.
2026-06-13 23:29:27,557 | INFO | routes_documents | Successfully processed document: 0150f543-ba83-44b0-93f4-1c2e02b6c819. Chunks written: 3
2026-06-13 23:29:30,159 | INFO | routes_documents | File upload received: sample_research_paper.pdf, size: 0.01 MB
2026-06-13 23:29:30,172 | INFO | deduplication | Duplicate document detected. Existing ID: 0150f543-ba83-44b0-93f4-1c2e02b6c819
2026-06-13 23:29:30,173 | WARNING | routes_documents | Duplicate detected. Hash: 2e5700024d398086ef8f5bfa4487ee7e61ea867f54e4f0a16ed2108173e58d0d, existing doc_id: 0150f543-ba83-44b0-93f4-1c2e02b6c819
2026-06-13 23:34:30,691 | INFO | main | Application starting up. Initializing database...
2026-06-13 23:34:30,697 | INFO | main | Database schema initialized successfully.
2026-06-13 23:37:31,838 | INFO | main | Application starting up. Initializing database...
2026-06-13 23:37:31,844 | INFO | main | Database schema initialized successfully.
2026-06-13 23:38:44,652 | INFO | routes_documents | File upload received: 1.CSE-SEM-1-CALCULUS AND LINEAR ALGEBRA-CONTENT-PDF.pdf, size: 34.17 MB
